Embedding,Classifier,Train_Acc,Val_Acc,Test_Acc,Precision,Recall,F1_Score,ROC_AUC,Time_Sec
MiniLM,LogisticRegression,0.3176,0.3168,0.3168,0.3074,0.3168,0.3065,0.7853,3.3
MiniLM,LogisticRegression,0.3176,0.3168,0.3168,0.3074,0.3168,0.3065,0.7853,2.5
MiniLM,LinearSVC,0.3071,0.3059,0.3059,0.2951,0.3059,0.2761,0.0,1.7
MiniLM,RandomForest,0.9999,0.5535,0.5535,0.5545,0.5535,0.5512,0.8808,9.2
MiniLM,MLP,0.5417,0.4672,0.4672,0.464,0.4672,0.4623,0.8861,2.0
MiniLM,ComplementNB,0.1928,0.1931,0.1931,0.2061,0.1931,0.1641,0.6618,2.0
MPNet,LogisticRegression,0.3606,0.3541,0.3541,0.3468,0.3541,0.3461,0.8125,4.8
MPNet,LinearSVC,0.3639,0.3575,0.3575,0.3534,0.3575,0.3365,0.0,6.8
MPNet,RandomForest,1.0,0.5642,0.5642,0.5629,0.5642,0.562,0.8862,11.3
MPNet,MLP,0.6314,0.5213,0.5213,0.5159,0.5213,0.5166,0.9077,2.6
MPNet,ComplementNB,0.1585,0.1577,0.1577,0.1982,0.1577,0.1305,0.6396,3.3
BGE,LogisticRegression,0.4146,0.4101,0.4101,0.4032,0.4101,0.4031,0.8498,4.9
BGE,LinearSVC,0.419,0.4145,0.4145,0.4095,0.4145,0.3967,0.0,6.6
BGE,RandomForest,1.0,0.5698,0.5698,0.5699,0.5698,0.5685,0.8912,11.5
BGE,MLP,0.6834,0.5843,0.5843,0.5816,0.5843,0.5814,0.9296,2.5
BGE,ComplementNB,0.1838,0.1849,0.1849,0.202,0.1849,0.1595,0.6711,3.5
E5,LogisticRegression,0.4761,0.47,0.47,0.4652,0.47,0.4645,0.8801,4.4
E5,LinearSVC,0.4895,0.4838,0.4838,0.4783,0.4838,0.4696,0.0,2.8
E5,RandomForest,1.0,0.5772,0.5772,0.577,0.5772,0.5754,0.8978,10.5
E5,MLP,0.6859,0.6301,0.6301,0.6298,0.6301,0.6271,0.9464,2.3
E5,ComplementNB,0.2317,0.2315,0.2315,0.2594,0.2315,0.2064,0.7177,3.3
MiniLM,RNN,0.314,0.3117,0.3117,0.3015,0.3117,0.2987,0.7841,8.0
MiniLM,LSTM,0.4057,0.3958,0.3958,0.388,0.3958,0.388,0.8497,8.9
MiniLM,BiLSTM,0.4266,0.4108,0.4108,0.406,0.4108,0.4039,0.8589,9.5
MiniLM,GRU,0.3988,0.3896,0.3896,0.3791,0.3896,0.38,0.8466,8.3
MiniLM,RNN,0.3148,0.3128,0.3128,0.3046,0.3128,0.3057,0.784,8.3
MiniLM,LSTM,0.4047,0.3941,0.3941,0.3864,0.3941,0.3828,0.85,9.2
MiniLM,BiLSTM,0.4258,0.4103,0.4103,0.4041,0.4103,0.4029,0.8588,10.6
MiniLM,GRU,0.3991,0.3897,0.3897,0.3825,0.3897,0.3808,0.8461,9.8
MiniLM,TextCNN,0.3124,0.3107,0.3107,0.3022,0.3107,0.2977,0.784,8.3
MPNet,RNN,0.3562,0.3509,0.3509,0.3445,0.3509,0.3431,0.8146,10.7
MPNet,LSTM,0.4346,0.4174,0.4174,0.4105,0.4174,0.4083,0.8624,9.6
MPNet,BiLSTM,0.4598,0.4393,0.4393,0.4312,0.4393,0.4311,0.8724,10.7
MPNet,GRU,0.4287,0.4123,0.4123,0.4051,0.4123,0.4046,0.8598,9.0
MPNet,TextCNN,0.3561,0.3519,0.3519,0.3461,0.3519,0.3438,0.8136,12.4
BGE,RNN,0.4076,0.4014,0.4014,0.3965,0.4014,0.3937,0.8507,15.0
BGE,LSTM,0.4827,0.4678,0.4678,0.463,0.4678,0.4609,0.89,13.5
BGE,BiLSTM,0.5071,0.4925,0.4925,0.4953,0.4925,0.4876,0.8989,13.7
BGE,GRU,0.4798,0.4656,0.4656,0.4601,0.4656,0.4575,0.8885,12.2
BGE,TextCNN,0.4083,0.4033,0.4033,0.3986,0.4033,0.3969,0.8505,12.2
E5,RNN,0.4639,0.4577,0.4577,0.476,0.4577,0.4524,0.8822,15.1
E5,LSTM,0.4767,0.4723,0.4723,0.4735,0.4723,0.4652,0.8879,14.7
E5,BiLSTM,0.5018,0.494,0.494,0.4954,0.494,0.4849,0.8995,14.5
E5,GRU,0.4773,0.4712,0.4712,0.481,0.4712,0.4721,0.887,14.6
E5,TextCNN,0.4688,0.463,0.463,0.4693,0.463,0.4537,0.8832,9.2
